adresse,num,proprio[global],collectif,sexe,statut_femme,proprio_titre*,proprio_particule*,proprio_name*,proprio_ad,proprio_numAd,commune_propio,proprio_region*,Pays,same_place*,commentaire,x_dom,y_dom,postcode_en2020_dom,source_dom,url_dom,score_dom
rue de l’Abbé Grégoire,16,Dames de St-Maur,Eglise,,,-0,-0,Dames de St-Maur,rue Abbé Grégoire,10,Paris,Paris,France,non,,2.323807,48.849249,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=10+rue+Abbé+Grégoire&lat=48.8566&lon=2.3522&limit=100,0.7194754368245612
rue de l’Abbé Grégoire,20,Talabard,,,,-0,-0,Talabard,-0,St-Maurice,,Seine,France,non,,,,,,https://api-adresse.data.gouv.fr/search/?q=St-Maurice+-0&lat=48.8566&lon=2.3522&limit=100,
rue de l’Abbé Grégoire,22,David,,,,-0,-0,David,rue Caumartin,37,Paris,Paris,France,non,,2.328144,48.872291,75009,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=37+rue+Caumartin&lat=48.8566&lon=2.3522&limit=100,0.752256164173958
rue de l’Abbé Grégoire,24,Quicray,,,,-0,-0,Quicray,rue Abbé Grégoire,24,Paris,Paris,France,oui,,2.324814,48.848177,75006,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=24+rue+Abbé+Grégoire&lat=48.8566&lon=2.3522&limit=100,0.7194784777765546
rue de l’Abbé Grégoire,26,Topart,,,,-0,-0,Topart,avenue République,19,Paris,Paris,France,non,,2.370562,48.866169,75011,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=19+avenue+République&lat=48.8566&lon=2.3522&limit=100,0.7011225438275006
rue de l’Abbé Groult,1,Trépier,,,,-0,-0,Trépier,rue Abbé Groult,1,Paris,Paris,France,oui,,2.29345,48.843309,75015,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=1+rue+Abbé+Groult&lat=48.8566&lon=2.3522&limit=100,0.7038910605191934
rue de l’Abbé Groult,5,Avinain (Hiers),,,,-0,-0,Avinain,rue Ecoles,36,Paris,Paris,France,non,,2.346889,48.849158,75005,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=36+rue+Ecoles&lat=48.8566&lon=2.3522&limit=100,0.6898959605004422
rue de l’Abbé Groult,5bis,Avinain (Hiers),,,,-0,-0,Avinain,rue Ecoles,36,Paris,Paris,France,non,,2.346889,48.849158,75005,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=36+rue+Ecoles&lat=48.8566&lon=2.3522&limit=100,0.6898959605004422
rue de l’Abbé Groult,7,Fallet,,,,-0,-0,Fallet,rue Abbé Groult,7,Paris,Paris,France,oui,,2.293758,48.84294,75015,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=7+rue+Abbé+Groult&lat=48.8566&lon=2.3522&limit=100,0.7038933767775459
rue de l’Abbé Groult,9,Jaeger,,,,-0,-0,Jaeger,rue Pavée,17,Paris,Paris,France,non,,2.361183,48.856714,75004,https://api-adresse.data.gouv.fr,https://api-adresse.data.gouv.fr/search/?q=17+rue+Pavée&lat=48.8566&lon=2.3522&limit=100,0.8742194189746676
